spec	modelNum	modelTime	modelMem	sign	testtuple	pass	askTime	askMem	numProvs	maxTreeDepth	maxNumAlphas	maxHighlight	info
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->worksIn$0->unused12)	true	385237	158546656	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->of$0->unused3)	true	375238	158550936	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->unused28)	true	19503671	165370128	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->unused23)	true	466192	165370128	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->worksIn$0->unused24)	true	387166	167642208	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->worksIn$0->Manager$0)	true	47905245	172182192	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused15)	true	369417	174452192	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused9)	true	428284	174454368	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused3)	true	15739460	181264432	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->worksIn$0->unused10)	true	501151	181266616	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->Manager$0)	true	48365310	188081104	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused6)	true	16017611	194893304	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused2)	true	365554	194893304	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->Val$0)	true	44221491	201703328	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->worksIn$0->unused22)	true	485672	201705416	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->worksIn$0->unused8)	true	315940	201705416	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->unused17)	true	16395707	208550048	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->worksIn$0->unused9)	true	808744307	248946488	4	10	21	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused28)	true	512064	175889704	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->Manager$0)	true	15750498	180713160	1	6	2	16	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->worksIn$0->unused3)	true	731429700	291376936	4	10	21	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->worksIn$0->unused14)	true	482971	180702512	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->unused14)	true	15670053	187590032	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->worksIn$0->unused2)	true	349477	187590032	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->unused9)	true	258384	187590032	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->unused24)	true	365525	187592208	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused27)	true	323886	187592208	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->worksIn$0->unused4)	true	313403	187592208	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused18)	true	329378	187594392	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused19)	true	310649	187594392	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused13)	true	247537	187594392	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->unused20)	true	15596204	194481872	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->worksIn$0->unused22)	true	797487974	311978064	4	10	21	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused6)	true	396730	261512880	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Val(unused19)	true	263372	261512880	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->of$0->unused7)	true	372221	261515056	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->worksIn$0->Val$0)	true	868922998	302891536	3	10	21	16	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused9)	true	560654	190107744	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->worksIn$0->unused7)	true	425153	190109920	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused29)	true	392872	190109920	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->of$0->unused8)	true	390781	190112024	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->Address$0)	true	63155888	196080952	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->worksIn$0->unused12)	true	899756748	291058176	4	10	21	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->of$0->unused4)	true	15872689	174158736	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->of$0->unused7)	true	382890	174158736	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->worksIn$0->unused20)	true	327204	174158736	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->worksIn$0->unused6)	true	316503	174158736	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->EnumVal$0)	true	44481613	182396360	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused20)	true	448035	182396360	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->worksIn$0->EnumVal$0)	true	44265657	187881864	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused3)	true	465141	187884048	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->worksIn$0->unused22)	true	262444	187884048	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused23)	true	349060	187886136	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Driver(unused27)	true	76948454	231933024	1	7	1	20	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused10)	true	487605	231933024	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused24)	true	265146	231935200	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->unused17)	true	254382	231935200	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->Address$0)	true	44339028	240163488	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	this/Employee(unused26)	true	80885445	280809984	1	7	1	20	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->worksIn$0->unused9)	true	468741	146984968	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->worksIn$0->unused24)	true	345650	146984968	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->Manager$0)	true	52744287	155040680	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->worksIn$0->unused24)	true	471260	155040680	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->of$0->unused27)	true	351477	155042864	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused17)	true	349207	155044952	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->Address$0)	true	15437621	157714296	1	6	2	16	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->unused7)	true	451827	157716472	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->worksIn$0->unused22)	true	19490446	165728336	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused26)	true	19878655	173749328	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->worksIn$0->unused4)	true	469937	173751424	0	0	0	0	-
