spec	modelNum	modelTime	modelMem	sign	testtuple	pass	askTime	askMem	numProvs	maxTreeDepth	maxNumAlphas	maxHighlight	info
CD2Alloy1.als	2	9149491	102475512	false	get(Address$0->worksIn$0->unused13)	true	38806763	134676512	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused21->color$0->unused20)	true	721747	134678688	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused25->worksIn$0->Val$0)	true	92762965	145034352	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->color$0->enum_ColorKind_white$0)	true	95007354	155854472	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->of$0->enum_ColorKind_black$0)	true	84596083	159541816	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->drives$0->enum_ColorKind_white$0)	true	79588863	124355384	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused25->drives$0->unused14)	true	487046	124355384	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused21->worksIn$0->unused19)	true	394864	125339448	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused22->of$0->unused19)	true	375765	125339448	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(Employee$0->drivenBy$0->unused20)	true	30260594	137548320	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused19->worksIn$0->unused19)	true	459059	137548320	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->worksIn$0->unused19)	true	350816	137548320	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->color$0->Employee$0)	true	81641373	148373136	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused22->worksIn$0->unused13)	true	464951	148373136	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused21->drives$0->unused16)	true	349690	148375320	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused25->worksIn$0->unused16)	true	341466	148375320	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused19->drivenBy$0->Val$0)	true	79845616	158500392	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused24->worksIn$0->unused14)	true	500362	107536328	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused18->worksIn$0->unused20)	true	396733	107536328	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused21->of$0->unused16)	true	377362	107536328	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	this/Driver(unused20)	true	111607796	157394472	1	11	23	38	-
CD2Alloy1.als	2	9149491	102475512	false	get(Address$0->worksIn$0->unused18)	true	30091411	129318864	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	this/Car(Address$0)	true	172507771	156441616	2	11	23	38	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused24->drives$0->enum_ColorKind_white$0)	true	79239144	140967640	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused20->worksIn$0->unused21)	true	467896	140967640	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused22->of$0->unused11)	true	390249	141875624	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused22->color$0->enum_ColorKind_white$0)	true	79007887	152578240	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused25->drivenBy$0->enum_ColorKind_white$0)	true	79187458	155043368	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused20->drivenBy$0->unused12)	true	560394	115080464	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(Address$0->drivenBy$0->unused23)	true	30089161	127048424	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused23->drivenBy$0->unused16)	true	527101	127048424	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(Employee$0->drives$0->unused18)	true	37324956	138884984	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused19->drives$0->unused13)	true	516747	138884984	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(Address$0->drivenBy$0->unused18)	true	34302602	151547504	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused20->worksIn$0->unused25)	true	449750	151547504	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(Address$0->drives$0->unused19)	true	30001702	154502696	2	6	4	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused20->worksIn$0->unused19)	true	460577	115898064	0	0	0	0	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused24->worksIn$0->enum_ColorKind_black$0)	true	79361574	126001640	1	5	3	42	-
CD2Alloy1.als	2	9149491	102475512	false	get(unused20->drives$0->unused22)	true	468588	126908600	0	0	0	0	-
